ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
807 12002 342.349 24021.2
808 12002.2 315.019 24023.4
809 12002.4 287.678 24025.4
810 12002.6 260.326 24027.3
811 12002.7 232.963 24029.1
812 12002.9 205.589 24030.7
813 12003 178.206 24032.1
814 12003.1 150.811 24033.3
815 12003.2 123.41 24034.3
816 12003.3 96.001 24035
817 12003.4 68.5869 24035.6
818 12003.4 41.1692 24035.9
819 12003.4 13.7496 24036
820 12003.5 -13.6702 24035.9
821 12003.4 -41.0884 24035.6
822 12003.4 -68.5036 24035.1
823 12003.3 -95.9146 24034.4
824 12003.3 -123.321 24033.5
825 12003.2 -150.721 24032.5
826 12003 -178.113 24031.2
827 12002.9 -205.495 24029.8
828 12002.8 -232.869 24028.2
829 12002.6 -260.232 24026.5
830 12002.4 -287.584 24024.5
831 12002.2 -314.925 24022.5
832 12002 -342.255 24020.3
833 12001.8 -369.577 24017.9
834 12001.5 -396.891 24015.5
835 12001.3 -424.199 24013.1
836 12001.1 -451.5 24010.5
837 12000.8 -478.797 24007.9
838 12000.6 -506.091 24005.3
839 12000.3 -533.383 24002.7
840 12000 -560.671 24000
841 12000 12560.7 -12000
842 12000.3 12533.4 -11997.2
843 12000.5 12506.1 -11994.3
844 12000.8 12478.8 -11991.6
845 12001 12451.6 -11988.8
846 12001.3 12424.3 -11986.2
847 12001.5 12397 -11983.6
848 12001.7 12369.7 -11981.2
849 12002 12342.3 -11978.8
850 12002.2 12315 -11976.6
851 12002.4 12287.7 -11974.6
852 12002.6 12260.3 -11972.7
853 12002.7 12233 -11970.9
854 12002.9 12205.6 -11969.3
855 12003 12178.2 -11967.9
856 12003.1 12150.8 -11966.7
857 12003.2 12123.4 -11965.7
858 12003.3 12096 -11965
859 12003.4 12068.6 -11964.4
860 12003.4 12041.2 -11964.1
861 12003.4 12013.7 -11964
862 12003.5 11986.3 -11964.1
863 12003.4 11958.9 -11964.4
864 12003.4 11931.5 -11964.9
865 12003.3 11904.1 -11965.6
866 12003.3 11876.7 -11966.5
867 12003.2 11849.3 -11967.5
868 12003 11821.9 -11968.8
869 12002.9 11794.5 -11970.2
870 12002.8 11767.1 -11971.8
871 12002.6 11739.8 -11973.5
872 12002.4 11712.4 -11975.5
873 12002.2 11685.1 -11977.5
874 12002 11657.7 -11979.7
875 12001.8 11630.4 -11982.1
876 12001.5 11603.1 -11984.5
877 12001.3 11575.8 -11986.9
878 12001.1 11548.5 -11989.5
879 12000.8 11521.2 -11992.1
880 12000.6 11493.9 -11994.7
881 12000.3 11466.6 -11997.3
882 12000 11439.3 -12000
883 12000 12560.7 1.56319e-13
884 12000.3 12533.4 2.8393
885 12000.5 12506.1 5.656
886 12000.8 12478.8 8.4347
887 12001 12451.6 11.1605
888 12001.3 12424.3 13.8124
889 12001.5 12397 16.3719
890 12001.7 12369.7 18.8237
891 12002 12342.3 21.1568
892 12002.2 12315 23.3612
893 12002.4 12287.7 25.4259
894 12002.6 12260.3 27.3398
895 12002.7 12233 29.094
896 12002.9 12205.6 30.6801
897 12003 12178.2 32.0792
898 12003.1 12150.8 33.2723
899 12003.2 12123.4 34.2509
900 12003.3 12096 35.0163
901 12003.4 12068.6 35.5676
902 12003.4 12041.2 35.9053
903 12003.4 12013.7 36.025
904 12003.5 11986.3 35.9236
905 12003.4 11958.9 35.6105
906 12003.4 11931.5 35.0999
907 12003.3 11904.1 34.4046
908 12003.3 11876.7 33.5306
909 12003.2 11849.3 32.4774
910 12003 11821.9 31.2383
911 12002.9 11794.5 29.8154
912 12002.8 11767.1 28.2178
913 12002.6 11739.8 26.4557
914 12002.4 11712.4 24.5345
915 12002.2 11685.1 22.4625
916 12002 11657.7 20.2554
917 12001.8 11630.4 17.9389
918 12001.5 11603.1 15.534
919 12001.3 11575.8 13.0536
920 12001.1 11548.5 10.5162
921 12000.8 11521.2 7.936
922 12000.6 11493.9 5.3209
923 12000.3 11466.6 2.6728
924 12000 11439.3 1.56319e-13
925 12000 12560.7 12000
926 12000.3 12533.4 12002.8
927 12000.5 12506.1 12005.7
928 12000.8 12478.8 12008.4
929 12001 12451.6 12011.2
930 12001.3 12424.3 12013.8
931 12001.5 12397 12016.4
932 12001.7 12369.7 12018.8
933 12002 12342.3 12021.2
934 12002.2 12315 12023.4
935 12002.4 12287.7 12025.4
936 12002.6 12260.3 12027.3
937 12002.7 12233 12029.1
938 12002.9 12205.6 12030.7
939 12003 12178.2 12032.1
940 12003.1 12150.8 12033.3
941 12003.2 12123.4 12034.3
942 12003.3 12096 12035
943 12003.4 12068.6 12035.6
944 12003.4 12041.2 12035.9
945 12003.4 12013.7 12036
946 12003.5 11986.3 12035.9
947 12003.4 11958.9 12035.6
948 12003.4 11931.5 12035.1
949 12003.3 11904.1 12034.4
950 12003.3 11876.7 12033.5
951 12003.2 11849.3 12032.5
952 12003 11821.9 12031.2
953 12002.9 11794.5 12029.8
954 12002.8 11767.1 12028.2
955 12002.6 11739.8 12026.5
956 12002.4 11712.4 12024.5
957 12002.2 11685.1 12022.5
958 12002 11657.7 12020.3
959 12001.8 11630.4 12017.9
960 12001.5 11603.1 12015.5
961 12001.3 11575.8 12013.1
962 12001.1 11548.5 12010.5
963 12000.8 11521.2 12007.9
964 12000.6 11493.9 12005.3
965 12000.3 11466.6 12002.7
966 12000 11439.3 12000
967 12000 12560.7 24000
968 12000.3 12533.4 24002.8
969 12000.5 12506.1 24005.7
970 12000.8 12478.8 24008.4
971 12001 12451.6 24011.2
972 12001.3 12424.3 24013.8
973 12001.5 12397 24016.4
974 12001.7 12369.7 24018.8
975 12002 12342.3 24021.2
976 12002.2 12315 24023.4
977 12002.4 12287.7 24025.4
978 12002.6 12260.3 24027.3
979 12002.7 12233 24029.1
980 12002.9 12205.6 24030.7
981 12003 12178.2 24032.1
982 12003.1 12150.8 24033.3
983 12003.2 12123.4 24034.3
984 12003.3 12096 24035
985 12003.4 12068.6 24035.6
986 12003.4 12041.2 24035.9
987 12003.4 12013.7 24036
988 12003.5 11986.3 24035.9
989 12003.4 11958.9 24035.6
990 12003.4 11931.5 24035.1
991 12003.3 11904.1 24034.4
992 12003.3 11876.7 24033.5
993 12003.2 11849.3 24032.5
994 12003 11821.9 24031.2
995 12002.9 11794.5 24029.8
996 12002.8 11767.1 24028.2
997 12002.6 11739.8 24026.5
998 12002.4 11712.4 24024.5
999 12002.2 11685.1 24022.5
1000 12002 11657.7 24020.3
1001 12001.8 11630.4 24017.9
1002 12001.5 11603.1 24015.5
1003 12001.3 11575.8 24013.1
1004 12001.1 11548.5 24010.5
1005 12000.8 11521.2 24007.9
1006 12000.6 11493.9 24005.3
1007 12000.3 11466.6 24002.7
1008 12000 11439.3 24000
1009 24000 560.67 -12000
1010 24000.3 533.399 -11997.2
1011 24000.5 506.126 -11994.3
1012 24000.8 478.848 -11991.6
1013 24001 451.566 -11988.8
1014 24001.3 424.276 -11986.2
1015 24001.5 396.977 -11983.6
1016 24001.7 369.668 -11981.2
1017 24002 342.349 -11978.8
1018 24002.2 315.019 -11976.6
1019 24002.4 287.678 -11974.6
1020 24002.6 260.326 -11972.7
1021 24002.7 232.963 -11970.9
1022 24002.9 205.589 -11969.3
1023 24003 178.206 -11967.9
1024 24003.1 150.811 -11966.7
1025 24003.2 123.41 -11965.7
1026 24003.3 96.001 -11965
1027 24003.4 68.5869 -11964.4
1028 24003.4 41.1692 -11964.1
1029 24003.4 13.7496 -11964
1030 24003.5 -13.6702 -11964.1
1031 24003.4 -41.0884 -11964.4
1032 24003.4 -68.5036 -11964.9
1033 24003.3 -95.9146 -11965.6
1034 24003.3 -123.321 -11966.5
1035 24003.2 -150.721 -11967.5
1036 24003 -178.113 -11968.8
1037 24002.9 -205.495 -11970.2
1038 24002.8 -232.869 -11971.8
1039 24002.6 -260.232 -11973.5
1040 24002.4 -287.584 -11975.5
1041 24002.2 -314.925 -11977.5
1042 24002 -342.255 -11979.7
1043 24001.8 -369.577 -11982.1
1044 24001.5 -396.891 -11984.5
1045 24001.3 -424.199 -11986.9
1046 24001.1 -451.5 -11989.5
1047 24000.8 -478.797 -11992.1
1048 24000.6 -506.091 -11994.7
1049 24000.3 -533.383 -11997.3
1050 24000 -560.671 -12000
1051 24000 560.67 1.56319e-13
1052 24000.3 533.399 2.8393
1053 24000.5 506.126 5.656
1054 24000.8 478.848 8.4347
1055 24001 451.566 11.1605
1056 24001.3 424.276 13.8124
1057 24001.5 396.977 16.3719
1058 24001.7 369.668 18.8237
1059 24002 342.349 21.1568
1060 24002.2 315.019 23.3612
1061 24002.4 287.678 25.4259
1062 24002.6 260.326 27.3398
1063 24002.7 232.963 29.094
1064 24002.9 205.589 30.6801
1065 24003 178.206 32.0792
1066 24003.1 150.811 33.2723
1067 24003.2 123.41 34.2509
1068 24003.3 96.001 35.0163
1069 24003.4 68.5869 35.5676
1070 24003.4 41.1692 35.9053
1071 24003.4 13.7496 36.025
1072 24003.5 -13.6702 35.9236
1073 24003.4 -41.0884 35.6105
1074 24003.4 -68.5036 35.0999
1075 24003.3 -95.9146 34.4046
1076 24003.3 -123.321 33.5306
1077 24003.2 -150.721 32.4774
1078 24003 -178.113 31.2383
1079 24002.9 -205.495 29.8154
1080 24002.8 -232.869 28.2178
1081 24002.6 -260.232 26.4557
1082 24002.4 -287.584 24.5345
1083 24002.2 -314.925 22.4625
1084 24002 -342.255 20.2554
1085 24001.8 -369.577 17.9389
1086 24001.5 -396.891 15.534
1087 24001.3 -424.199 13.0536
1088 24001.1 -451.5 10.5162
1089 24000.8 -478.797 7.936
1090 24000.6 -506.091 5.3209
1091 24000.3 -533.383 2.6728
1092 24000 -560.671 1.56319e-13
1093 24000 560.67 12000
1094 24000.3 533.399 12002.8
1095 24000.5 506.126 12005.7
1096 24000.8 478.848 12008.4
1097 24001 451.566 12011.2
1098 24001.3 424.276 12013.8
1099 24001.5 396.977 12016.4
1100 24001.7 369.668 12018.8
1101 24002 342.349 12021.2
1102 24002.2 315.019 12023.4
1103 24002.4 287.678 12025.4
1104 24002.6 260.326 12027.3
1105 24002.7 232.963 12029.1
1106 24002.9 205.589 12030.7
1107 24003 178.206 12032.1
1108 24003.1 150.811 12033.3
1109 24003.2 123.41 12034.3
1110 24003.3 96.001 12035
1111 24003.4 68.5869 12035.6
1112 24003.4 41.1692 12035.9
1113 24003.4 13.7496 12036
1114 24003.5 -13.6702 12035.9
1115 24003.4 -41.0884 12035.6
1116 24003.4 -68.5036 12035.1
1117 24003.3 -95.9146 12034.4
1118 24003.3 -123.321 12033.5
1119 24003.2 -150.721 12032.5
1120 24003 -178.113 12031.2
1121 24002.9 -205.495 12029.8
1122 24002.8 -232.869 12028.2
1123 24002.6 -260.232 12026.5
1124 24002.4 -287.584 12024.5
1125 24002.2 -314.925 12022.5
1126 24002 -342.255 12020.3
1127 24001.8 -369.577 12017.9
1128 24001.5 -396.891 12015.5
1129 24001.3 -424.199 12013.1
1130 24001.1 -451.5 12010.5
1131 24000.8 -478.797 12007.9
1132 24000.6 -506.091 12005.3
1133 24000.3 -533.383 12002.7
1134 24000 -560.671 12000
1135 24000 560.67 24000
1136 24000.3 533.399 24002.8
1137 24000.5 506.126 24005.7
1138 24000.8 478.848 24008.4
1139 24001 451.566 24011.2
1140 24001.3 424.276 24013.8
1141 24001.5 396.977 24016.4
1142 24001.7 369.668 24018.8
1143 24002 342.349 24021.2
1144 24002.2 315.019 24023.4
1145 24002.4 287.678 24025.4
1146 24002.6 260.326 24027.3
1147 24002.7 232.963 24029.1
1148 24002.9 205.589 24030.7
1149 24003 178.206 24032.1
1150 24003.1 150.811 24033.3
1151 24003.2 123.41 24034.3
1152 24003.3 96.001 24035
1153 24003.4 68.5869 24035.6
1154 24003.4 41.1692 24035.9
1155 24003.4 13.7496 24036
1156 24003.5 -13.6702 24035.9
1157 24003.4 -41.0884 24035.6
1158 24003.4 -68.5036 24035.1
1159 24003.3 -95.9146 24034.4
1160 24003.3 -123.321 24033.5
1161 24003.2 -150.721 24032.5
1162 24003 -178.113 24031.2
1163 24002.9 -205.495 24029.8
1164 24002.8 -232.869 24028.2
1165 24002.6 -260.232 24026.5
1166 24002.4 -287.584 24024.5
1167 24002.2 -314.925 24022.5
1168 24002 -342.255 24020.3
1169 24001.8 -369.577 24017.9
1170 24001.5 -396.891 24015.5
1171 24001.3 -424.199 24013.1
1172 24001.1 -451.5 24010.5
1173 24000.8 -478.797 24007.9
1174 24000.6 -506.091 24005.3
1175 24000.3 -533.383 24002.7
1176 24000 -560.671 24000
1177 24000 12560.7 -12000
1178 24000.3 12533.4 -11997.2
1179 24000.5 12506.1 -11994.3
1180 24000.8 12478.8 -11991.6
1181 24001 12451.6 -11988.8
1182 24001.3 12424.3 -11986.2
1183 24001.5 12397 -11983.6
1184 24001.7 12369.7 -11981.2
1185 24002 12342.3 -11978.8
1186 24002.2 12315 -11976.6
1187 24002.4 12287.7 -11974.6
1188 24002.6 12260.3 -11972.7
1189 24002.7 12233 -11970.9
1190 24002.9 12205.6 -11969.3
1191 24003 12178.2 -11967.9
1192 24003.1 12150.8 -11966.7
1193 24003.2 12123.4 -11965.7
1194 24003.3 12096 -11965
1195 24003.4 12068.6 -11964.4
1196 24003.4 12041.2 -11964.1
1197 24003.4 12013.7 -11964
1198 24003.5 11986.3 -11964.1
1199 24003.4 11958.9 -11964.4
1200 24003.4 11931.5 -11964.9
1201 24003.3 11904.1 -11965.6
1202 24003.3 11876.7 -11966.5
1203 24003.2 11849.3 -11967.5
1204 24003 11821.9 -11968.8
1205 24002.9 11794.5 -11970.2
1206 24002.8 11767.1 -11971.8
1207 24002.6 11739.8 -11973.5
1208 24002.4 11712.4 -11975.5
1209 24002.2 11685.1 -11977.5
1210 24002 11657.7 -11979.7
1211 24001.8 11630.4 -11982.1
1212 24001.5 11603.1 -11984.5
1213 24001.3 11575.8 -11986.9
1214 24001.1 11548.5 -11989.5
1215 24000.8 11521.2 -11992.1
1216 24000.6 11493.9 -11994.7
1217 24000.3 11466.6 -11997.3
1218 24000 11439.3 -12000
1219 24000 12560.7 1.56319e-13
1220 24000.3 12533.4 2.8393
1221 24000.5 12506.1 5.656
1222 24000.8 12478.8 8.4347
1223 24001 12451.6 11.1605
1224 24001.3 12424.3 13.8124
1225 24001.5 12397 16.3719
1226 24001.7 12369.7 18.8237
1227 24002 12342.3 21.1568
1228 24002.2 12315 23.3612
1229 24002.4 12287.7 25.4259
1230 24002.6 12260.3 27.3398
1231 24002.7 12233 29.094
1232 24002.9 12205.6 30.6801
1233 24003 12178.2 32.0792
1234 24003.1 12150.8 33.2723
1235 24003.2 12123.4 34.2509
1236 24003.3 12096 35.0163
1237 24003.4 12068.6 35.5676
1238 24003.4 12041.2 35.9053
1239 24003.4 12013.7 36.025
1240 24003.5 11986.3 35.9236
1241 24003.4 11958.9 35.6105
1242 24003.4 11931.5 35.0999
1243 24003.3 11904.1 34.4046
1244 24003.3 11876.7 33.5306
1245 24003.2 11849.3 32.4774
1246 24003 11821.9 31.2383
1247 24002.9 11794.5 29.8154
1248 24002.8 11767.1 28.2178
1249 24002.6 11739.8 26.4557
1250 24002.4 11712.4 24.5345
1251 24002.2 11685.1 22.4625
1252 24002 11657.7 20.2554
1253 24001.8 11630.4 17.9389
1254 24001.5 11603.1 15.534
1255 24001.3 11575.8 13.0536
1256 24001.1 11548.5 10.5162
1257 24000.8 11521.2 7.936
1258 24000.6 11493.9 5.3209
1259 24000.3 11466.6 2.6728
1260 24000 11439.3 1.56319e-13
1261 24000 12560.7 12000
1262 24000.3 12533.4 12002.8
1263 24000.5 12506.1 12005.7
1264 24000.8 12478.8 12008.4
1265 24001 12451.6 12011.2
1266 24001.3 12424.3 12013.8
1267 24001.5 12397 12016.4
1268 24001.7 12369.7 12018.8
1269 24002 12342.3 12021.2
1270 24002.2 12315 12023.4
1271 24002.4 12287.7 12025.4
1272 24002.6 12260.3 12027.3
1273 24002.7 12233 12029.1
1274 24002.9 12205.6 12030.7
1275 24003 12178.2 12032.1
1276 24003.1 12150.8 12033.3
1277 24003.2 12123.4 12034.3
1278 24003.3 12096 12035
1279 24003.4 12068.6 12035.6
1280 24003.4 12041.2 12035.9
1281 24003.4 12013.7 12036
1282 24003.5 11986.3 12035.9
1283 24003.4 11958.9 12035.6
1284 24003.4 11931.5 12035.1
1285 24003.3 11904.1 12034.4
1286 24003.3 11876.7 12033.5
1287 24003.2 11849.3 12032.5
1288 24003 11821.9 12031.2
1289 24002.9 11794.5 12029.8
1290 24002.8 11767.1 12028.2
1291 24002.6 11739.8 12026.5
1292 24002.4 11712.4 12024.5
1293 24002.2 11685.1 12022.5
1294 24002 11657.7 12020.3
1295 24001.8 11630.4 12017.9
1296 24001.5 11603.1 12015.5
1297 24001.3 11575.8 12013.1
1298 24001.1 11548.5 12010.5
1299 24000.8 11521.2 12007.9
1300 24000.6 11493.9 12005.3
1301 24000.3 11466.6 12002.7
1302 24000 11439.3 12000
1303 24000 12560.7 24000
1304 24000.3 12533.4 24002.8
1305 24000.5 12506.1 24005.7
1306 24000.8 12478.8 24008.4
1307 24001 12451.6 24011.2
1308 24001.3 12424.3 24013.8
1309 24001.5 12397 24016.4
1310 24001.7 12369.7 24018.8
1311 24002 12342.3 24021.2
1312 24002.2 12315 24023.4
1313 24002.4 12287.7 24025.4
1314 24002.6 12260.3 24027.3
1315 24002.7 12233 24029.1
1316 24002.9 12205.6 24030.7
1317 24003 12178.2 24032.1
1318 24003.1 12150.8 24033.3
1319 24003.2 12123.4 24034.3
1320 24003.3 12096 24035
1321 24003.4 12068.6 24035.6
1322 24003.4 12041.2 24035.9
1323 24003.4 12013.7 24036
1324 24003.5 11986.3 24035.9
1325 24003.4 11958.9 24035.6
1326 24003.4 11931.5 24035.1
1327 24003.3 11904.1 24034.4
1328 24003.3 11876.7 24033.5
1329 24003.2 11849.3 24032.5
1330 24003 11821.9 24031.2
1331 24002.9 11794.5 24029.8
1332 24002.8 11767.1 24028.2
1333 24002.6 11739.8 24026.5
1334 24002.4 11712.4 24024.5
1335 24002.2 11685.1 24022.5
1336 24002 11657.7 24020.3
1337 24001.8 11630.4 24017.9
1338 24001.5 11603.1 24015.5
1339 24001.3 11575.8 24013.1
1340 24001.1 11548.5 24010.5
1341 24000.8 11521.2 24007.9
1342 24000.6 11493.9 24005.3
1343 24000.3 11466.6 24002.7
1344 24000 11439.3 24000
